ID,name,location,type,adname,address,X,Y
419,牛蛙工厂,"116.798080,23.528342",公司企业;公司;冶金化工,澄海区,莲上镇南徽乡广达造纸厂旁边南发大道左拐第一个路口直走,116.79808,23.528342
420,骏腾工艺品厂,"116.830709,23.554821",公司企业;公司;冶金化工,澄海区,东里镇南畔洲开发区南路9号,116.830709,23.554821
421,金中发制钉厂,"116.795338,23.530565",公司企业;公司;冶金化工,澄海区,G324(福昆线),116.795338,23.530565
422,建发手袋工艺厂,"116.798954,23.544742",公司企业;公司;冶金化工,澄海区,水南北路塘陇幼儿园东北侧约120米,116.798954,23.544742
423,伟源工艺厂,"116.754147,23.561151",公司企业;公司;冶金化工,澄海区,隆都镇前美朱厝,116.754147,23.561151
424,韩江工艺厂,"116.813490,23.568314",公司企业;公司;冶金化工,澄海区,东里镇梅陇洋工业区,116.81349,23.568314
425,宏俊工艺厂,"116.833142,23.567768",公司企业;公司;冶金化工,澄海区,福昆线东里加油站南侧约190米,116.833142,23.567768
426,乙丁工艺厂,"116.815313,23.568920",公司企业;公司;冶金化工,澄海区,东里镇第三中学樟西路旁,116.815313,23.56892
427,捷鸿五金塑料制品厂,"116.837175,23.554884",公司企业;公司;冶金化工,澄海区,东里镇六合路广华基地附近,116.837175,23.554884
428,建信塑胶制品厂,"116.832353,23.562619",公司企业;公司;冶金化工,澄海区,东里镇南社月丁元一区17号,116.832353,23.562619
429,庆源工艺厂,"116.830431,23.556672",公司企业;公司;冶金化工,澄海区,东里镇南畔洲工业区北路20号,116.830431,23.556672
430,绿牌遮阳网厂,"116.838655,23.580966",公司企业;公司;冶金化工,澄海区,G324宝雄汽修厂东北侧,116.838655,23.580966
431,江南食品厂,"116.810730,23.559109",公司企业;公司;冶金化工,澄海区,东里镇石头坑村工业区水尾一号,116.81073,23.559109
432,澄海莲下管陇工艺厂,"116.766462,23.526687",公司企业;公司;冶金化工,澄海区,,116.766462,23.526687
433,汕头市金霸塑胶制品厂,"116.757385,23.459451",公司企业;公司;冶金化工,澄海区,永安路江夏楼(玉亭路)西侧约130米,116.757385,23.459451
