,name,location,type,adname,address,X,Y
52,名盛厂房,"116.714427,23.405540",gongchang,龙湖区,汕樟路298号,116.714427,23.40554
53,四汇电子厂,"116.723030,23.403181",gongchang,龙湖区,嵩山北路162号金福彩印3层,116.72303,23.403181
54,凤羽包装厂,"116.720812,23.403735",gongchang,龙湖区,盛业街26号3楼(虹桥机械对面),116.720812,23.403735
55,嘉业线材厂,"116.735067,23.391582",gongchang,龙湖区,桂欣路35号厂房二楼,116.735067,23.391582
56,展源酿酒厂,"116.711638,23.418375",gongchang,龙湖区,兴安路与万吉南二街交叉路口西北侧,116.711638,23.418375
57,新豪迪玩具厂,"116.771450,23.400372",gongchang,龙湖区,荣兴中路北十四巷与三头路交叉路口南侧,116.77145,23.400372
58,依佳利毛织厂,"116.720921,23.460148",gongchang,龙湖区,青年路汕头市龙湖区外砂镇大衙村幼儿园西北侧约50米,116.720921,23.460148
59,常顺服装厂,"116.739154,23.395811",gongchang,龙湖区,周厝塭新联南街(西宁路)交界处,116.739154,23.395811
60,梵甲玩具厂,"116.744944,23.386394",gongchang,龙湖区,陈厝合安和街佳和十六巷11号,116.744944,23.386394
61,老莫电子厂,"116.744909,23.390490",gongchang,龙湖区,陈厝合泰和街东新12巷6号,116.744909,23.39049
62,自有家具厂,"116.743206,23.384419",gongchang,龙湖区,安和街与黄山路交叉口西120米,116.743206,23.384419
63,艺海玩具厂,"116.753379,23.382971",gongchang,龙湖区,金泰街美列大厦二层,116.753379,23.382971
64,华艺楼梯厂,"116.736138,23.400009",gongchang,龙湖区,新锋南街北150米,116.736138,23.400009
65,金海石雕厂,"116.731388,23.407018",gongchang,龙湖区,泰山路和汕汾红绿灯口下来200米,116.731388,23.407018
66,瑞中兴玩具厂,"116.785092,23.416799",gongchang,龙湖区,新溪街道上头合村,116.785092,23.416799
67,鮀滨制药厂,"116.742625,23.395549",gongchang,龙湖区,浦江路48号广东泰恩康(三层),116.742625,23.395549
68,上九食品厂,"116.789674,23.392055",gongchang,龙湖区,长兴路东南阳光幼儿园南侧约270米,116.789674,23.392055
69,裕丰石板厂,"116.762702,23.360225",gongchang,龙湖区,永益街永安大楼B座1F,116.762702,23.360225
70,金吉盛废铁场,"116.717856,23.421541",gongchang,龙湖区,万吉工业园万吉南二街,116.717856,23.421541
71,Breeze百滋,"116.717223,23.417747",gongchang,龙湖区,鸥上学校旁嵩山路口交界处西北侧,116.717223,23.417747
72,廷丰玩具厂,"116.750972,23.395603",gongchang,龙湖区,广东省汕头市龙湖区辛厝寮龙九巷16号7楼,116.750972,23.395603
73,港新毛织厂,"116.783922,23.414355",gongchang,龙湖区,顺旺路健乐幼儿园东侧约230米,116.783922,23.414355
74,老强压折厂,"116.751991,23.382965",gongchang,龙湖区,北一巷9号,116.751991,23.382965
75,美尚纺织,"116.753481,23.394245",gongchang,龙湖区,韶山路高新中街13号,116.753481,23.394245
76,汕头市龙湖扬弘服饰厂,"116.748796,23.388130",gongchang,龙湖区,新津街道泰山路98号3楼南侧,116.748796,23.38813
77,雅格制衣厂,"116.742087,23.390847",gongchang,龙湖区,桂和街一巷7号1楼,116.742087,23.390847
78,三金工艺厂,"116.749370,23.436886",gongchang,龙湖区,外砂镇蓬发大道易选商场5楼,116.74937,23.436886
79,隆嘉琪毛衫织造厂,"116.729174,23.445927",gongchang,龙湖区,龙华街道南社村老溪底工业区溪南底三巷五5号,116.729174,23.445927
80,梓冬毛织厂,"116.730421,23.446165",gongchang,龙湖区,龙华街道南社村老溪底工业区,116.730421,23.446165
81,博元毛织厂,"116.730409,23.446046",gongchang,龙湖区,G78(汕昆高速),116.730409,23.446046
82,汕头市锐利毛衣厂,"116.728227,23.446819",gongchang,龙湖区,龙华街道南社红砖楼前工业区16号,116.728227,23.446819
83,阿鑫电脑横机,"116.729059,23.446864",gongchang,龙湖区,南社区,116.729059,23.446864
84,裕欣毛衣,"116.733399,23.446510",gongchang,龙湖区,外砂镇南社高速桥下第二间,116.733399,23.44651
85,兴达铜门厂,"116.772166,23.415570",gongchang,龙湖区,北兴路,116.772166,23.41557
86,铭斯毛织厂,"116.729878,23.446628",gongchang,龙湖区,外砂镇南社村,116.729878,23.446628
87,新思琪毛织厂,"116.749811,23.427126",gongchang,龙湖区,龙凤路硕仕宜幼儿园东南侧约280米,116.749811,23.427126
88,津业毛织厂星丹毛织厂,"116.750674,23.439523",gongchang,龙湖区,外砂镇蓬中村大路厝1片1号,116.750674,23.439523
89,阿文冲剪加工厂,"116.788572,23.395165",gongchang,龙湖区,新海街道东南联兴路二十七巷3号,116.788572,23.395165
90,玻璃鸿,"116.783777,23.389661",gongchang,龙湖区,新溪镇六份村金新路北,116.783777,23.389661
91,云泉窗帘加工厂,"116.749080,23.397125",gongchang,龙湖区,龙祥街道周厝塭中元一街七横21号,116.74908,23.397125
92,庚植毛织厂,"116.716360,23.456677",gongchang,龙湖区,外砂镇大衙村,116.71636,23.456677
93,海丽毛衫织厂,"116.750180,23.441073",gongchang,龙湖区,蓬南工业区岐沟片区和厂房6楼,116.75018,23.441073
94,星予玩具厂,"116.735587,23.449918",gongchang,龙湖区,外砂镇东溪小学对面工业区,116.735587,23.449918
95,加利食品实业有限公司,"116.717112,23.423154",gongchang,龙湖区,万吉南二街16号c幢,116.717112,23.423154
96,嘉博毛衫厂,"116.754033,23.428898",gongchang,龙湖区,外砂街道蓬中工业区2幢二楼,116.754033,23.428898
97,金烽毛衣厂,"116.744115,23.424672",gongchang,龙湖区,华埠村新华中路11巷6号,116.744115,23.424672
98,汕头市名钦毛织厂,"116.753334,23.398428",gongchang,龙湖区,浦江东路与韶山路金津段交叉路口往东南约160米,116.753334,23.398428
99,佳佳毛织厂,"116.755340,23.444578",gongchang,龙湖区,蓬发大道海乐城完美巷,116.75534,23.444578
100,妍雯毛织厂,"116.761853,23.442024",gongchang,龙湖区,外砂街道李厝村北怡园中路1巷9号,116.761853,23.442024
101,佳佳旺复合膜厂,"116.734926,23.449132",gongchang,龙湖区,振南工业区,116.734926,23.449132
102,梓盛毛织厂,"116.748187,23.427741",gongchang,龙湖区,龙头村孚洲工业区,116.748187,23.427741
103,凯诚毛织厂,"116.731994,23.452995",gongchang,龙湖区,后湖片区7巷,116.731994,23.452995
104,丰暖毛织厂,"116.722690,23.456965",gongchang,龙湖区,,116.72269,23.456965
105,膨宇钢筋加工厂,"116.790875,23.388362",gongchang,龙湖区,中共路与长兴路交叉口南约100米,116.790875,23.388362
106,川隆纸箱厂,"116.739795,23.424579",gongchang,龙湖区,华埠工业区,116.739795,23.424579
107,融达五金加工场,"116.782955,23.413015",gongchang,龙湖区,和兴路东段四号,116.782955,23.413015
108,艾佳沙发厂,"116.794436,23.391716",gongchang,龙湖区,新溪金鸿公路大十合桂园,116.794436,23.391716
109,佳磊石材加工厂,"116.749018,23.428696",gongchang,龙湖区,龙头村龙头浮洲工业区裕鸿昌毛衫后面,116.749018,23.428696
110,虹兴腌制厂,"116.749693,23.442230",gongchang,龙湖区,外砂土青年路东侧蓬中工业区,116.749693,23.44223
111,健德毛织厂,"116.737837,23.453597",gongchang,龙湖区,,116.737837,23.453597
112,千千缕毛织厂,"116.753929,23.445257",gongchang,龙湖区,顺峰路锦骏虹璟湾-西区西北侧约80米,116.753929,23.445257
