ID,name,location,type,adname,address,X,Y
90,汕头市河浦建筑总公司,"116.663362,23.272430",公司企业;公司;建筑公司,濠江区,河浦大道,116.663362,23.27243
91,广东龙辉达建设有限公司,"116.695402,23.288300",公司企业;公司;建筑公司,濠江区,葛陈居委珠莘边路10号,116.695402,23.2883
92,豪江建设,"116.722639,23.284483",公司企业;公司;建筑公司,濠江区,府前路中段和记综合楼1703号房,116.722639,23.284483
93,汕头市启泰建筑工程有限公司,"116.775942,23.243476",公司企业;公司;建筑公司,濠江区,保税区创业中心4楼401,116.775942,23.243476
94,汕头市信远劳务有限公司,"116.680224,23.248164",公司企业;公司;建筑公司,濠江区,五一村河浦大道旁12号,116.680224,23.248164
95,广东永力建筑劳务分包有限公司,"116.718405,23.280954",公司企业;公司;建筑公司,濠江区,达南路与西园新路交叉口南200米,116.718405,23.280954
96,中敏建设工程有限公司汕头分公司,"116.768570,23.249012",公司企业;公司;建筑公司,濠江区,广达大道三寮幼儿园东北侧约220米,116.76857,23.249012
97,广东和协建设工程检测有限公司汕头分公司,"116.701160,23.290026",公司企业;公司;建筑公司,濠江区,礐石街道葛陈路口府前路嘉民工业园西座一楼,116.70116,23.290026
98,广东铭信工程项目管理有限公司汕头分公司,"116.720759,23.268292",公司企业;公司;建筑公司,濠江区,马窖街道达南路95号恒大金碧御景湾影城2栋136单元2楼,116.720759,23.268292
99,汕头市潮阳建筑工程总公司,"116.605365,23.275158",公司企业;公司;建筑公司,潮阳区,东山大道北187号汕潮大厦,116.605365,23.275158
100,广东宏茂建设管理有限公司,"116.592818,23.262766",公司企业;公司;建筑公司,潮阳区,石珠园E区三横路8号,116.592818,23.262766
101,汕头市潮阳第三建筑总公司,"116.595442,23.259325",公司企业;公司;建筑公司,潮阳区,文光街道棉城棉西路66号,116.595442,23.259325
102,广东省二建潮阳公司,"116.606009,23.270708",公司企业;公司;建筑公司,潮阳区,上华十巷6号,116.606009,23.270708
103,汕潮三建,"116.595500,23.259265",公司企业;公司;建筑公司,潮阳区,棉西路66号,116.5955,23.259265
104,汕头市弘飞建筑机械有限公司,"116.502805,23.404986",公司企业;公司;建筑公司|购物服务;专卖店;专营店,潮阳区,西凤村大路南中学旁,116.502805,23.404986
105,广东顺通建设有限公司,"116.593105,23.263855",公司企业;公司;建筑公司,潮阳区,棉城石珠园e区1-4栋首层,116.593105,23.263855
106,广东新潮建设有限公司,"116.593002,23.263033",公司企业;公司;建筑公司,潮阳区,石珠园e区5-8幢,116.593002,23.263033
107,旭峰装饰工程有限公司,"116.580234,23.256562",公司企业;公司;建筑公司,潮阳区,文光街道西丽园三栋二号思祖路旭峰装饰工程有限公司,116.580234,23.256562
108,广东晟润建设有限公司,"116.605214,23.276385",公司企业;公司;建筑公司,潮阳区,城北五路与东山大道交叉口东北80米,116.605214,23.276385
109,广东冠翔建设有限公司,"116.606042,23.274202",公司企业;公司;建筑公司,潮阳区,棉北街道平北和乐园B栋101号,116.606042,23.274202
110,海西工程,"116.507896,23.403318",公司企业;公司;建筑公司,潮阳区,路南楼区7号,116.507896,23.403318
111,朝垣建设工程有限公司,"116.526114,23.259697",公司企业;公司;建筑公司,潮阳区,广东省汕头市潮阳区金浦街道梅西鲤鱼尾,116.526114,23.259697
112,潮阳一建公司,"116.588030,23.257372",公司企业;公司;建筑公司,潮阳区,恒宇大厦2号楼九层,116.58803,23.257372
113,广东承筑建筑有限公司,"116.624214,23.214399",公司企业;公司;建筑公司,潮阳区,G15沈海高速g228号,116.624214,23.214399
114,广东聚丰美建设有限公司,"116.605647,23.276210",公司企业;公司;建筑公司,潮阳区,城北五路与东山大道交叉口东100米,116.605647,23.27621
115,广东泰乙成建筑有限公司,"116.596083,23.276378",公司企业;公司;建筑公司,潮阳区,棉北街道平南工业区路口3号,116.596083,23.276378
116,汕头市连坚建设有限公司,"116.477640,23.267689",公司企业;公司;建筑公司,潮阳区,和平镇和铺东路广东连坚集团工业区,116.47764,23.267689
117,汕头市通盛建筑有限公司,"116.535829,23.258788",公司企业;公司;建筑公司,潮阳区,梅园路第5单元,116.535829,23.258788
118,汕头市潮阳第二建筑总公司,"116.607372,23.263463",公司企业;公司;建筑公司,潮阳区,东山大道中112号,116.607372,23.263463
119,广东中一建设工程有限公司,"116.609412,23.266673",公司企业;公司;建筑公司,潮阳区,棉北衔道城北一路丹华花园西向7号铺面,116.609412,23.266673
120,潮阳四建,"116.593253,23.245531",公司企业;公司;建筑公司,潮阳区,棉新大道美段南三栋,116.593253,23.245531
121,汕头市小筑建设有限公司,"116.609431,23.266901",公司企业;公司;建筑公司,潮阳区,北丹路丹华花园,116.609431,23.266901
122,中铁八局,"116.467096,23.280070",公司企业;公司;建筑公司,潮阳区,S237潮阳和平练北卫生站东北侧,116.467096,23.28007
123,昭波装饰,"116.474993,23.231904",公司企业;公司;建筑公司,潮阳区,和平镇新和惠路里美路段4号,116.474993,23.231904
124,深圳市嘉盛建筑工程有限公司,"116.633840,23.208521",公司企业;公司;建筑公司,潮阳区,新华路与228国道交叉口北360米,116.63384,23.208521
125,汕头市宏典建筑劳务有限公司,"116.650082,23.205460",公司企业;公司;建筑公司,潮阳区,海门镇,116.650082,23.20546
126,汕头市海展建筑工程有限公司,"116.493755,23.202056",公司企业;公司;建筑公司,潮阳区,成田镇东盐学校西3巷5号,116.493755,23.202056
127,广东凌泰建设有限公司(潮阳分公司),"116.588694,23.260859",公司企业;公司;建筑公司,潮阳区,城西一路,116.588694,23.260859
128,广东品峰建设工程有限公司汕头分公司,"116.605318,23.276162",公司企业;公司;建筑公司,潮阳区,棉北街道城北五路成德花园第六栋115号铺之一,116.605318,23.276162
129,杰邦建筑工程有限公司汕头市分公司,"116.497728,23.221348",公司企业;公司;建筑公司,潮阳区,,116.497728,23.221348
130,汕头市潮阳区关埠海涛货物装卸服务部,"116.463571,23.440372",公司企业;公司;建筑公司,潮阳区,关埠镇沿堤路卫生院前,116.463571,23.440372
131,广东莱烨建设工程有限公司(汕头分公司),"116.591294,23.252376",公司企业;公司;建筑公司,潮阳区,文光街道双望西洋宫东384号南面2号铺,116.591294,23.252376
132,广东莱烨建设工程有限公司潮阳第一分公司,"116.469563,23.245122",公司企业;公司;建筑公司,潮阳区,朝阳区和平善兴路98号2铺,116.469563,23.245122
