ID,name,location,type,adname,address,X,Y
1945,汕头市澄海区大得玩具厂,"116.79737,23.535188",公司企业;工厂;工厂,澄海区,溪南镇溪南工业区大得玩具厂,116.79737,23.535188
1946,聚信工艺手袋厂,"116.793227,23.458118",公司企业;工厂;工厂,澄海区,信宁开发区五马路3号,116.793227,23.458118
1947,汕头市澄海区杰美印刷厂,"116.729695,23.570365",公司企业;工厂;工厂,澄海区,福洋华侨大道东50米,116.729695,23.570365
1948,蓝速电子厂,"116.753896,23.477650",公司企业;工厂;工厂,澄海区,龙华食品厂2楼,116.753896,23.47765
1949,雄风注塑厂,"116.744918,23.458743",公司企业;工厂;工厂,澄海区,澄化街道下窖窖内工业区沟墘路9号,116.744918,23.458743
1950,卫斯达玩具厂,"116.747668,23.457907",公司企业;工厂;工厂,澄海区,地区下窖五里亭立峰玩具厂三楼,116.747668,23.457907
1951,东隆毛织厂,"116.730239,23.468190",公司企业;工厂;工厂,澄海区,天旺路玉窖华侨学校西北侧约250米,116.730239,23.46819
1952,赛越玩具,"116.751659,23.458322",公司企业;工厂;工厂,澄海区,澄华街道上埭上洲工业区竹华路东侧4号,116.751659,23.458322
1953,欧纽玩具,"116.767942,23.447839",公司企业;工厂;工厂,澄海区,澄华街道滨江路四路六巷5号6层,116.767942,23.447839
1954,欣裕硅橡胶制品厂,"116.735191,23.466222",公司企业;工厂;工厂,澄海区,澄华街道新佳东园1巷3号,116.735191,23.466222
1955,徽粤工艺厂,"116.755599,23.460050",公司企业;工厂;工厂,澄海区,泰安路骑光厂侧门广泰大厦二层,116.755599,23.46005
1956,勤宇(荣发)文具塑胶厂,"116.758395,23.457904",公司企业;工厂;工厂,澄海区,澄华路与上埭东华路交叉口东180米,116.758395,23.457904
1957,樱花毛衫,"116.730595,23.473458",公司企业;工厂;工厂,澄海区,澄华街道冠山社区,116.730595,23.473458
1958,祥美模具厂,"116.755460,23.460167",公司企业;工厂;工厂,澄海区,泰安路广泰大厦一楼,116.75546,23.460167
1959,羽翔毛织厂,"116.741965,23.467205",公司企业;工厂;工厂,澄海区,韵达快递斜对面10层,116.741965,23.467205
1960,新杰源工艺厂,"116.740931,23.468823",公司企业;工厂;工厂,澄海区,澄华街道下窖华新路西3巷5号,116.740931,23.468823
1961,上埭冰厂,"116.752330,23.455801",公司企业;工厂;工厂,澄海区,澄华街道上埭乡竹树园工业区制冰厂,116.75233,23.455801
1962,坚鸿工艺厂,"116.776167,23.449250",公司企业;工厂;工厂,澄海区,信兴路北二横16号,116.776167,23.44925
1963,豪泰工艺玩具厂,"116.777507,23.449472",公司企业;工厂;工厂,澄海区,莱美路129号,116.777507,23.449472
1964,阿光货场,"116.735214,23.474979",公司企业;工厂;工厂,澄海区,安速东路与区间支路交叉口西北120米,116.735214,23.474979
1965,万协织造厂,"116.741269,23.473227",公司企业;工厂;工厂,澄海区,文冠路奕达汽修二楼,116.741269,23.473227
1966,迪斯丽毛织制衣厂,"116.769772,23.447573",公司企业;工厂;工厂,澄海区,滨江路二路4号,116.769772,23.447573
1967,乐声新厂,"116.782783,23.448960",公司企业;工厂;工厂,澄海区,凤新一路168车行名冠汽修厂斜对面高楼,116.782783,23.44896
1968,米臣玩具厂,"116.750869,23.461794",公司企业;工厂;工厂,澄海区,澄华街道下窖工业区,116.750869,23.461794
1969,铧镕工艺玩具厂,"116.755411,23.459276",公司企业;工厂;工厂,澄海区,澄华街道泰安路东6巷9号,116.755411,23.459276
1970,良德玩具厂,"116.747707,23.472482",公司企业;工厂;工厂,澄海区,安荣路与德政路交叉口西南160米,116.747707,23.472482
1971,乐联玩具厂,"116.786655,23.446962",公司企业;工厂;工厂,澄海区,凤新二路协和工业园东北侧约260米,116.786655,23.446962
1972,都宝玩具,"116.784115,23.450511",公司企业;工厂;工厂,澄海区,凤翔街道凤新一路凤业二路,116.784115,23.450511
1973,塑料管材厂,"116.761767,23.466653",公司企业;工厂;工厂,澄海区,振新路中段,116.761767,23.466653
