lon_84,lat_84,name,type
116.7437327,23.44152415,顺凯织造毛织厂,gongchang
116.7628893,23.44031283,韩依舍毛衫厂,gongchang
116.7806884,23.39303451,潮谦食品厂,gongchang
116.7444631,23.43049345,外砂烽泰副食品厂,gongchang
116.7827688,23.40278948,意锋车厢厂,gongchang
116.7298512,23.45108674,汕头市栢丽毛织服饰,gongchang
116.7445063,23.44184507,联业织造厂,gongchang
116.7774075,23.37953812,树彬工艺纸板厂,gongchang
116.7845454,23.40524241,雅之婷毛织厂,gongchang
116.7451578,23.42987551,汕头市瑾依玉珊毛织厂,gongchang
116.7474589,23.44685755,勇鼎汇玩具厂,gongchang
116.7403618,23.45117356,春平电脑机工厂,gongchang
116.7687497,23.37991948,嘉利不锈钢剪压厂,gongchang
116.7468162,23.44553566,正艺纸塑工艺厂,gongchang
116.7441182,23.43127137,汕头欣裳毛衫织造厂,gongchang
116.7657671,23.41321544,致惠玩具工艺,gongchang
116.7115429,23.46394614,彬打毛厂,gongchang
116.7368567,23.42705734,创意雨蓬厂,gongchang
116.7682859,23.41940952,毛衣刷毛订珠加工厂,gongchang
116.7386598,23.4365086,韩依品毛织厂,gongchang
116.7578029,23.44637634,陇源注塑厂,gongchang
116.7678445,23.42144687,雅达隆玩具厂,gongchang
116.7253253,23.44919599,王锦雄毛织厂,gongchang
116.7444676,23.43691665,嘉正隆纺织染厂办事处,gongchang
116.7766333,23.43397667,曼依纯服饰厂,gongchang
116.7485775,23.43325924,浩铭毛织厂,gongchang
116.7796638,23.43413213,祥日帐篷厂,gongchang
116.7402016,23.4401528,相益毛衫厂,gongchang
116.7394649,23.39698415,汕头市万集石业有限公司,gongchang
116.7847998,23.40289113,轩辉毛织厂,gongchang
116.7826007,23.43271194,泽丰服饰毛织厂,gongchang
116.7571079,23.44560412,麟迪服装羊毛衫厂,gongchang
116.7447601,23.44350687,杰盛毛织服装厂,gongchang
116.7928617,23.39335435,富源电子厂,gongchang
116.7408622,23.44066661,外砂五金模具厂,gongchang
116.7579359,23.44632041,致远毛衫厂,gongchang
116.7165332,23.38559514,荣祥制衣厂,gongchang
116.7058109,23.43196193,迪尔佳家具厂,gongchang
116.7654206,23.40356969,金港泡沫厂(发源路),gongchang
116.7158314,23.44396524,新青食品厂,gongchang
116.7220917,23.44253533,鸿诚食品有限公司,gongchang
116.7067058,23.40936991,鸥下工艺厂,gongchang
116.7276523,23.39332515,汕头市三何电子有限公司,gongchang
116.7419189,23.43583802,新龙毛衫厂,gongchang
116.7150714,23.41571573,下蓬桥头酒厂,gongchang
116.7126965,23.3796485,汕头市银昌食品有限公司,gongchang
116.7126489,23.40563102,汕头市德泰纸管厂,gongchang
116.7511721,23.43009906,恒昌制罐厂,gongchang
